,ctarget
112406,dos
4314745,dos
671178,dos
2584182,dos
23630,normal
4836319,dos
2450995,dos
1954991,dos
854767,normal
771309,normal
495150,dos
2775711,dos
1515842,dos
3401753,normal
3634345,dos
969299,dos
4365510,dos
431487,dos
2254036,dos
1205331,dos
3910979,dos
182872,normal
2452223,dos
2921820,dos
3378354,dos
3278609,dos
4302031,dos
2767089,dos
1807704,dos
2371814,dos
1284119,dos
3054400,dos
1374632,normal
2201322,dos
2375838,dos
3810956,dos
4870597,normal
4785007,normal
4831077,normal
64994,normal
2532200,dos
99564,dos
3349912,dos
3868845,dos
4740026,dos
4471686,normal
2565434,dos
4628277,dos
1673313,dos
2929783,dos
1293849,dos
1107986,dos
3623265,dos
1765133,dos
3452710,normal
1782385,dos
2440624,dos
1357159,normal
1046227,normal
1787495,dos
2545621,dos
4195674,dos
3692949,dos
3965256,dos
2913401,dos
2850719,dos
1557479,dos
3800842,dos
3358382,dos
4774269,normal
865761,normal
1833078,dos
2171101,dos
1793691,dos
4050132,dos
2027690,dos
3224413,dos
2552360,dos
2378401,dos
478688,dos
612763,dos
2949532,dos
435302,dos
1898219,dos
4752210,dos
2052463,dos
3111257,dos
1213993,dos
263318,normal
18854,normal
2427483,dos
3307311,dos
3859628,dos
4295204,dos
1622433,dos
4429243,dos
1157357,dos
291515,normal
2147735,dos
4803453,normal
4859874,dos
2841918,dos
3723846,dos
4586968,dos
2697698,dos
3258776,dos
4702008,dos
1555179,dos
1399142,normal
1881667,dos
3760315,dos
902041,dos
4461214,normal
3959966,dos
4169600,dos
2631135,dos
4008275,dos
1211991,dos
2359513,dos
3499491,dos
2431531,dos
661904,dos
2062811,dos
185182,normal
2536290,dos
1044377,normal
1737630,dos
1156847,dos
4447264,dos
2999825,dos
3969813,dos
3597527,dos
1724783,dos
3718547,dos
1996952,dos
1074965,dos
4092267,dos
1047452,normal
4368966,dos
4539133,normal
1674921,dos
2935754,dos
3712231,dos
163022,normal
1892499,dos
3159312,dos
3225360,dos
1705536,dos
3613768,dos
2287049,dos
1076955,dos
575,normal
3332529,dos
2081760,dos
1797195,dos
2101324,dos
565098,dos
1647658,dos
981486,dos
3251309,dos
3395255,dos
774736,normal
2754210,dos
2515367,dos
953419,dos
967946,dos
2819993,dos
1187309,dos
4194652,dos
4369620,dos
1233801,dos
2178122,dos
2855709,dos
2761201,dos
4447269,dos
3627087,dos
22507,normal
1581483,dos
318412,normal
1791611,dos
373702,normal
69756,normal
1819302,dos
525117,dos
1856925,dos
2697073,dos
4289378,dos
136044,normal
926008,dos
2436531,dos
338839,normal
3731159,dos
3312668,dos
4716831,dos
2655649,dos
2918433,dos
1240926,dos
4427302,dos
3346398,dos
1558224,dos
1251298,dos
1406420,normal
2481778,dos
2091178,dos
3933984,dos
753444,normal
663714,dos
2537822,dos
3044873,dos
4313790,dos
4550655,normal
4847404,dos
3761269,dos
1776578,dos
178797,normal
3703670,dos
4898254,normal
2751490,dos
560906,dos
2034929,dos
2979390,dos
745083,normal
1966012,dos
2752469,dos
3271743,dos
2918112,dos
2205872,dos
1571413,dos
979702,dos
2451680,dos
4561985,dos
2466716,dos
1234454,dos
2695518,dos
70144,normal
4225073,dos
4502987,normal
800696,normal
2214060,dos
4871218,normal
747474,normal
3065540,dos
3892130,dos
4668057,dos
2485468,dos
3974622,dos
649452,dos
3063643,dos
3879633,dos
4652093,dos
2727124,dos
1564785,dos
3801278,dos
3171605,dos
4415585,dos
2748947,dos
3672647,dos
2566100,dos
2564771,dos
3709677,dos
3584969,dos
4725362,dos
166435,normal
2560842,dos
1833694,dos
3454513,normal
2624100,dos
1460098,normal
4886885,normal
4645822,dos
3722269,dos
2471375,dos
1264042,dos
387751,normal
2410684,dos
4874648,normal
3302972,dos
3075059,dos
2767549,dos
1917363,dos
1300963,dos
3810240,dos
3710850,dos
1725271,dos
1700899,dos
3337470,dos
1354080,normal
1532089,dos
2766036,dos
328766,normal
588470,dos
2917394,dos
1943525,dos
1279632,dos
2323738,dos
2289276,dos
3811704,dos
4626058,dos
771782,normal
504107,probe
2553827,dos
530083,dos
2516578,dos
2633457,dos
4489301,normal
3895966,dos
4212628,dos
331040,normal
1518590,dos
2022534,dos
3799119,dos
2672078,dos
709083,dos
3030251,dos
3218616,dos
4196669,dos
96786,dos
3691997,dos
2600359,dos
4457797,dos
2064378,dos
515479,normal
1345673,normal
566255,dos
2412978,dos
1752883,dos
3531778,dos
3446864,normal
3260876,dos
2320086,dos
2320808,dos
574801,dos
2753041,dos
1186117,dos
988116,dos
4118891,dos
4406490,dos
308786,normal
4134604,dos
3384608,dos
1103350,dos
4639162,dos
2591596,dos
3138349,dos
1857241,dos
3039034,dos
168185,normal
3284283,dos
4226406,dos
4116827,dos
3106600,dos
715403,dos
4161253,dos
4240616,dos
705127,dos
4351012,dos
3551834,dos
3760402,dos
274134,normal
1211909,dos
4722866,dos
3861003,dos
2595243,dos
2518712,dos
198504,normal
2489325,dos
85944,dos
1948491,dos
503689,probe
3057007,dos
4179225,dos
3942746,dos
1221000,dos
135719,normal
465423,dos
1114806,dos
1293322,dos
3329006,dos
4838737,dos
1765678,dos
4134375,dos
3243547,dos
1925554,dos
1893191,dos
3663474,dos
3151417,dos
4574262,dos
4548696,normal
194402,normal
2845245,dos
4451001,dos
2273837,dos
4422431,dos
1492744,dos
1473205,dos
2879597,dos
1421663,normal
4720495,dos
2962865,dos
1130619,dos
4767057,normal
3420574,normal
878772,normal
3167241,dos
2395423,dos
865363,normal
736041,normal
1216642,dos
3340345,dos
1396573,normal
4821992,normal
3432609,probe
166217,normal
4571292,dos
3165214,dos
2102075,dos
2490283,dos
2052789,dos
3191764,dos
3533555,dos
1541109,dos
2583585,dos
903394,dos
3988466,dos
3613327,dos
2315717,dos
4303516,dos
4017760,dos
4817231,normal
596528,dos
3363069,dos
3633891,dos
2608706,dos
3694821,dos
2879086,dos
1153197,dos
1384532,probe
4464228,normal
3834219,dos
1923600,dos
551777,dos
1458267,normal
3965572,dos
2682205,dos
2058271,dos
4044105,dos
359090,normal
3592239,dos
1008321,dos
185602,normal
3338119,dos
4492103,normal
2177852,dos
4894884,normal
3376270,dos
868233,normal
2259958,dos
321374,normal
1227533,dos
4158740,dos
1160655,dos
838227,normal
2551627,dos
4459891,normal
1366568,normal
1032800,normal
2803695,dos
2344342,dos
1097226,dos
2248876,dos
3660818,dos
3449816,normal
1692511,dos
4254209,dos
372568,normal
1424772,normal
1428138,normal
3987058,dos
136611,normal
1730057,dos
1121106,dos
1874713,dos
752291,normal
1264402,dos
480036,dos
2606205,dos
2995889,dos
4425033,dos
4259053,dos
966062,dos
88776,dos
1348172,normal
707548,dos
306275,normal
2233244,dos
2066239,dos
4309162,dos
1075202,dos
1328083,dos
1071666,dos
3268448,dos
4577522,dos
2214934,dos
4786986,normal
4892717,normal
147441,normal
2040081,dos
825083,normal
819945,normal
1144601,dos
3106130,dos
2048164,dos
3250666,dos
2261787,dos
4894954,normal
2395072,dos
1433578,normal
1989932,dos
4492921,normal
1040912,normal
1732601,dos
3724697,dos
1381563,normal
1045220,normal
3913789,dos
3516162,dos
1320030,dos
3824727,dos
2537818,dos
688013,dos
350232,normal
4183689,dos
3662875,dos
459890,dos
2540278,dos
148244,normal
2333558,dos
269845,normal
829929,normal
2356184,dos
1898498,dos
2496640,dos
162841,normal
3132854,dos
2618216,dos
2183732,dos
4513276,normal
4742715,dos
363367,normal
2516984,dos
4729154,dos
3828619,dos
2482831,dos
51677,normal
1542615,dos
2251842,dos
1762629,dos
3666657,dos
4194951,dos
4231091,dos
319191,normal
4073235,dos
916778,dos
3992683,dos
510466,normal
2537698,dos
2464303,dos
91379,dos
528542,dos
3440473,normal
1852220,dos
2827981,dos
1604571,dos
3151533,dos
171860,normal
2764882,dos
1932803,dos
2611316,dos
3782696,dos
1736207,dos
961729,dos
2599089,dos
1924343,dos
3342779,dos
921207,dos
182134,normal
3668302,dos
536720,dos
1092868,dos
1458964,normal
4219536,dos
2975123,dos
4277805,dos
3516355,dos
2830698,dos
3582247,dos
4662730,dos
3878,normal
2742821,dos
2761772,dos
3087017,dos
1352314,normal
4454928,dos
4574554,dos
1497899,dos
1656154,dos
4351993,dos
2167788,dos
3895043,dos
2686096,dos
4316102,dos
4593830,dos
3677689,normal
4555180,normal
4432755,dos
1104171,dos
3072474,dos
4486451,normal
163826,normal
4754603,dos
2371776,dos
2771742,dos
979430,dos
4710047,dos
309553,normal
1238577,dos
2875177,dos
1076167,dos
4808182,normal
1277105,dos
1994387,dos
3071471,dos
2381487,dos
3568004,dos
673254,dos
1887088,dos
3734013,dos
3712256,dos
3797394,dos
2054132,dos
3129473,dos
199082,normal
2358669,dos
475917,dos
1722161,dos
974778,dos
79788,dos
889795,normal
3076197,dos
613633,dos
1990084,dos
1956539,dos
39052,normal
1905807,dos
3586580,dos
4568986,dos
360797,normal
1287594,dos
2394489,dos
252521,normal
1206986,dos
1600477,dos
3138873,dos
1046334,normal
591597,dos
4753219,dos
4082734,dos
1233049,dos
3441690,normal
3491802,dos
25417,normal
2174055,dos
4215758,dos
3864979,dos
1363339,normal
1249631,dos
4623235,dos
2051824,dos
4632890,dos
2049974,dos
2633944,dos
1086241,dos
1256480,dos
2798244,dos
1248233,dos
4789490,normal
1126449,dos
1253103,dos
3440128,normal
4260427,dos
1609653,dos
3852043,dos
1817803,dos
1877295,dos
3191760,dos
3688063,dos
1513718,dos
2457282,dos
1382313,probe
3165668,dos
101114,dos
1364654,normal
1629501,dos
597983,dos
4156587,dos
1724374,dos
1743937,dos
4106606,dos
54513,normal
3734548,dos
2252650,dos
3756291,dos
2397458,dos
1395870,normal
1511758,dos
3905634,dos
925808,dos
3113490,dos
4276373,dos
3638093,dos
4057521,dos
2103739,dos
2415250,dos
1432095,normal
2192613,dos
4443885,dos
1632169,dos
1465617,dos
1981708,dos
901020,dos
1903573,dos
3736851,dos
3246751,dos
402923,normal
1531269,dos
3731624,dos
320596,normal
2467272,dos
1148985,dos
4354032,dos
1467559,dos
1884766,dos
3181225,dos
2727012,dos
3566349,dos
2481271,dos
2284298,dos
676877,dos
3209867,dos
546031,dos
4104713,dos
3368601,dos
3494483,dos
4397334,dos
4286704,dos
2008765,dos
1780452,dos
3090150,dos
21346,normal
3495795,dos
1831273,dos
1166905,dos
3894835,dos
2183659,dos
3662381,dos
3724092,dos
2005068,dos
4338698,dos
4285224,dos
1303861,dos
69772,normal
268174,normal
2629297,dos
2227994,dos
3655302,dos
2148554,dos
696788,dos
2165768,dos
4170620,dos
663237,dos
1687530,dos
1809362,dos
4669323,dos
3371209,dos
3326223,dos
4840366,dos
3356923,dos
3187895,dos
3709709,dos
4894108,normal
2660466,dos
7559,normal
3934396,dos
4632570,dos
4787552,normal
2930996,dos
2134016,dos
3320557,dos
3402681,normal
2614037,dos
1397426,normal
2740731,dos
2291769,dos
2244411,dos
4658877,dos
3432344,probe
4069328,dos
3693079,dos
2635512,dos
1400922,normal
3770686,dos
2120088,dos
528773,dos
1126009,dos
1493073,dos
3108534,dos
462127,dos
3223102,dos
3029406,dos
2486388,dos
4557458,normal
4175525,dos
3147082,dos
836156,normal
1545058,dos
1494727,dos
80968,dos
3125196,dos
2308497,dos
1620147,dos
368446,normal
4359480,dos
4590039,dos
4095768,dos
1049452,normal
4816752,dos
1862448,dos
2625976,dos
4879170,normal
1909892,dos
452826,dos
687557,dos
3630123,dos
4610404,dos
1171587,dos
4121350,dos
3950020,dos
4563562,dos
3195061,dos
2835903,dos
4356846,dos
1581618,dos
3554034,dos
3149184,dos
4043805,dos
4403334,dos
2142932,dos
2511755,dos
3774552,dos
2353435,dos
1339217,dos
183941,normal
2855691,dos
2575190,dos
4733210,dos
3709274,dos
3045688,dos
390767,normal
500815,normal
425367,dos
2564302,dos
2694004,dos
208306,normal
729820,normal
1638980,dos
1870587,dos
1500572,dos
1747973,dos
298409,normal
3193343,dos
577841,dos
4379386,dos
4035437,dos
639257,dos
3687090,dos
1561288,dos
362179,normal
2207560,dos
3749611,dos
3803389,dos
4588349,dos
2787675,dos
253366,normal
988635,dos
1561100,dos
2961768,dos
593371,dos
700211,dos
394109,normal
4252865,dos
2080072,dos
1027081,normal
2932298,dos
836119,normal
3472348,dos
1919787,dos
4642593,dos
2870555,dos
1488120,dos
3731619,dos
2120665,dos
3573926,dos
3792382,dos
2908238,dos
2296178,dos
678115,dos
1112478,dos
4436236,dos
4043463,dos
997328,dos
3029901,dos
2884090,dos
2765414,dos
4896190,normal
2618175,dos
1705030,dos
1172566,dos
3081840,dos
2262661,dos
3237324,dos
3115456,dos
3391825,dos
2815537,dos
2692065,dos
2504793,dos
3213210,dos
2220416,dos
532776,dos
4685624,dos
4467790,normal
4699999,dos
2063146,dos
638878,dos
355836,normal
1426277,normal
3146938,dos
748591,normal
19689,normal
2773369,dos
470107,dos
2366453,dos
3184656,dos
863924,normal
1214896,dos
3348772,dos
332513,normal
2493487,dos
694201,dos
3119190,dos
4440206,dos
428962,dos
3907021,dos
3209697,dos
3853744,dos
138472,normal
3206112,dos
1530999,dos
2896082,dos
3862513,dos
1519429,dos
4617598,dos
2453066,dos
3694091,dos
4549645,normal
3394432,dos
4421019,dos
261104,normal
1352418,normal
4478329,normal
4516004,normal
4332851,dos
1903560,dos
2874139,dos
4271954,dos
3751358,dos
4071290,dos
703680,dos
122107,normal
4892978,normal
220786,normal
2790077,dos
673445,dos
1836114,dos
2002411,dos
1019060,normal
4456343,dos
3404362,normal
3012455,dos
335761,normal
388113,normal
4509185,normal
3896269,dos
2002146,dos
2076389,dos
2357847,dos
4889400,normal
1023829,normal
1013732,dos
4822999,normal
2190380,dos
192301,normal
1559339,dos
3855360,dos
1806625,dos
1942661,dos
1544800,dos
847566,normal
4183744,dos
771175,normal
3132952,dos
2389395,dos
4346218,dos
3952551,dos
101861,dos
4432963,dos
1474696,dos
2040591,dos
509952,normal
2213360,dos
4718735,dos
2389480,dos
2519288,dos
2673092,dos
1492914,dos
2515093,dos
1457040,normal
1163793,dos
4087482,dos
1872990,dos
1403108,probe
3002771,dos
4815535,dos
3846304,dos
790331,normal
192891,normal
4332279,dos
1624565,dos
1758826,dos
2154204,dos
725507,normal
3318543,dos
3344743,dos
1304899,dos
1692980,dos
4140384,dos
890107,normal
139779,normal
841237,normal
2337720,dos
944587,dos
2529027,dos
3373039,dos
2572575,dos
2620843,dos
2616105,dos
122687,normal
2103894,dos
1583368,dos
416582,normal
2688265,dos
2538926,dos
1011917,dos
4737234,dos
180447,normal
4060086,dos
864804,normal
1027869,normal
4812175,dos
2076738,dos
3404,normal
811507,normal
2740216,dos
1409625,normal
2307856,dos
3216711,dos
116796,normal
299587,normal
2721452,dos
731357,normal
694855,dos
3965919,dos
4664248,dos
1205717,dos
734768,normal
1427941,normal
509324,normal
2768766,dos
1693836,dos
987049,dos
3557363,dos
1816099,dos
1462526,probe
1117510,dos
1190560,dos
3506302,dos
1007060,dos
833120,normal
2632148,dos
2800036,dos
2230330,dos
1479844,dos
1168705,dos
406393,normal
2195092,dos
2828960,dos
4082761,dos
1012009,dos
1847801,dos
4303769,dos
2915659,dos
2279750,dos
1004537,dos
2732694,dos
24865,normal
1423742,normal
20664,normal
3439194,normal
2783419,dos
852944,normal
2821554,dos
2441626,dos
2350300,dos
2654024,dos
1927475,dos
4338600,dos
2231821,dos
3439185,normal
36476,normal
2361473,dos
3974624,dos
4280692,dos
701598,dos
3520054,dos
303770,normal
4326367,dos
2605904,dos
2985885,dos
321669,normal
1434099,normal
4199530,dos
217386,normal
1122912,dos
4883392,normal
2773528,dos
1901737,dos
3729292,dos
776718,normal
883053,normal
4699547,dos
1417711,probe
3140341,dos
4485623,normal
2136287,dos
3904022,dos
135727,normal
302252,normal
1589198,dos
2059018,dos
4238591,dos
3132443,dos
4568506,dos
3064346,dos
4223271,dos
945321,dos
605645,dos
4777317,normal
1433662,normal
741464,probe
3112705,dos
4278570,dos
2012790,dos
529837,dos
1745109,dos
3656743,dos
1259884,dos
3629015,dos
4472491,normal
3145323,dos
3656926,dos
185901,normal
4446700,dos
3610007,dos
477206,dos
4237477,dos
2933339,dos
374410,normal
4856292,dos
4679940,dos
3533961,dos
1891753,dos
3976326,dos
312954,normal
541600,dos
4297981,dos
3836783,dos
2653546,dos
4106857,dos
1564867,dos
3898511,dos
3681069,normal
1419074,normal
4258631,dos
779100,normal
4409846,dos
4832891,dos
1452383,normal
4852705,dos
1292491,dos
4138573,dos
4833319,dos
2558929,dos
4705414,dos
3688976,dos
3712853,dos
2007837,dos
2378035,dos
3648098,dos
4817866,normal
437280,dos
3584304,dos
1462547,probe
879560,normal
4365884,dos
2553355,dos
353816,normal
1204107,dos
4247937,dos
1752781,dos
2892400,dos
2856576,dos
1527456,dos
1925616,dos
3599876,dos
2948372,dos
2963625,dos
596018,dos
4134666,dos
1771929,dos
1765342,dos
2954101,dos
2853146,dos
203764,normal
1335712,dos
2424352,dos
529912,dos
4675296,dos
3549911,dos
3304941,dos
3511639,dos
3367838,dos
2863101,dos
4369995,dos
946793,dos
496364,dos
3945640,dos
2760622,dos
2984024,dos
2247653,dos
4493839,normal
2625837,dos
4684075,dos
3946967,dos
3481004,dos
219157,normal
1580874,dos
1994665,dos
3028408,dos
2193038,dos
3131991,dos
601859,dos
2209098,dos
2838149,dos
4069695,dos
3448251,normal
3106997,dos
3247352,dos
278247,normal
4165969,dos
2138452,dos
3942255,dos
147210,normal
3250798,dos
4491964,normal
1654069,dos
1253714,dos
3463625,dos
212278,normal
2772392,dos
1831390,dos
4442733,dos
3868998,dos
1888337,dos
2520373,dos
2007852,dos
3907368,dos
4040043,dos
2833758,dos
2422901,dos
974917,dos
4660312,dos
4232989,dos
3865608,dos
4382309,dos
4194012,dos
1221323,dos
2352964,dos
4834122,dos
4610712,dos
1678867,dos
1638852,dos
2196661,dos
167152,normal
4426069,dos
594114,dos
4607188,dos
4775488,normal
3081385,dos
4418378,dos
3117542,dos
3614501,dos
1759631,dos
170378,normal
3989535,dos
4651629,dos
380335,normal
1155102,dos
1789338,dos
732337,normal
191783,normal
1269774,dos
3473880,dos
3778188,dos
1855900,dos
1813445,dos
3100131,dos
2269389,dos
2642485,dos
526576,dos
3024961,dos
4747699,dos
346610,normal
4561742,dos
1079113,dos
1736842,dos
3764460,dos
385404,normal
4405051,dos
4363736,dos
4633981,dos
3365780,dos
1319544,dos
2884169,dos
2725358,dos
813419,normal
1454685,normal
1761042,dos
2714226,dos
336803,normal
724215,normal
2694248,dos
4240195,dos
879337,normal
948669,dos
179090,normal
1256427,dos
532736,dos
1995353,dos
3531962,dos
4188158,dos
1607198,dos
1348965,normal
582568,dos
693648,dos
3078675,dos
2851764,dos
4482804,normal
1349474,normal
4302879,dos
4627275,dos
4295573,dos
3659903,dos
1105926,dos
820200,normal
4782417,normal
1829018,dos
4183675,dos
691945,dos
4005724,dos
94671,dos
1210761,dos
2629043,dos
1668150,dos
4136131,dos
2090460,dos
1499380,dos
3899215,dos
4658140,dos
2159273,dos
3309044,dos
3942247,dos
877263,normal
4773703,normal
2635737,dos
467537,dos
2656371,dos
3639153,dos
1713252,dos
1762986,dos
3603316,dos
3776965,dos
4068067,dos
3998741,dos
4193871,dos
1356040,normal
982036,dos
2748560,dos
4113865,dos
2054914,dos
4276129,dos
4183304,dos
2190371,dos
1846429,dos
3864411,dos
3370131,dos
2281731,dos
4338888,dos
4450431,dos
2576957,dos
1262804,dos
4355875,dos
2917894,dos
1097821,dos
3200974,dos
3391188,dos
2843837,dos
4082095,dos
2143380,dos
2212931,dos
575487,dos
4827577,normal
3988860,dos
731313,normal
381553,normal
2699791,dos
2591943,dos
4708914,dos
1125879,dos
4356556,dos
2664669,dos
846000,normal
2960952,dos
3323359,dos
1176783,dos
3787799,dos
3812765,dos
3846555,dos
1967160,dos
2336965,dos
3902683,dos
2316686,dos
3522665,dos
1086462,dos
1632739,dos
2669309,dos
2725469,dos
4094103,dos
1310853,dos
2931585,dos
883948,normal
4633399,dos
2730030,dos
4180758,dos
938173,dos
3392625,dos
3615523,dos
1903643,dos
910367,dos
619062,dos
2234220,dos
393109,normal
1045100,normal
4325404,dos
1960503,dos
930243,dos
2474902,dos
885731,normal
487415,dos
1527349,dos
3748537,dos
2800914,dos
3659111,dos
745156,normal
845873,normal
3546477,dos
4324602,dos
3830017,dos
2522062,dos
2818249,dos
1072517,dos
3030230,dos
3849767,dos
4625007,dos
1986385,dos
2127655,dos
2194183,dos
30265,normal
1292002,dos
3075102,dos
3232719,dos
4862388,dos
4355796,dos
4788980,normal
3250054,dos
4619849,dos
1385156,probe
3690820,dos
492673,dos
4625026,dos
341326,normal
289914,normal
2179671,dos
2837166,dos
4456784,dos
2939604,dos
2403444,dos
2776001,dos
3063634,dos
3777868,dos
1953813,dos
3461008,dos
718352,dos
3310889,dos
173530,normal
1381017,dos
1147148,dos
1436600,normal
300408,normal
2612726,dos
2954102,dos
3320332,dos
1793876,dos
4687287,dos
2562917,dos
2607568,dos
810733,normal
678137,dos
1817904,dos
2132122,dos
3520727,dos
1369221,normal
1999379,dos
1091460,dos
3688685,dos
4004341,dos
4784854,normal
1812945,dos
3771930,dos
3396600,normal
672479,dos
4843351,dos
3938570,dos
3183921,dos
4397533,dos
783547,normal
1720758,dos
1917124,dos
3492092,dos
4262540,dos
2711939,dos
3889683,dos
667484,dos
2639986,dos
805995,normal
1072183,dos
2462647,dos
625963,dos
3323453,dos
3050562,dos
607635,dos
4263425,dos
1034448,normal
793400,normal
343386,normal
740186,normal
2104167,dos
3117342,dos
3642823,dos
3825898,dos
4434323,dos
3565930,dos
3111744,dos
2326179,dos
2189930,dos
773372,normal
4001298,dos
922120,dos
4145898,dos
2795389,dos
4087672,dos
2161867,dos
1162725,dos
3462876,dos
2868558,dos
4781264,normal
4199790,dos
4837726,dos
4120781,dos
2146280,dos
2176623,dos
4471702,normal
2932158,dos
420007,probe
1778982,dos
1797002,dos
3960580,dos
2466889,dos
4444897,dos
3186142,dos
3006999,dos
2234644,dos
562892,dos
3719647,dos
3105719,dos
1314616,dos
1411155,normal
4061363,dos
3550089,dos
454247,dos
1529987,dos
2951387,dos
2851684,dos
4498139,normal
2032585,dos
1081743,dos
541215,dos
4320916,dos
370641,normal
1928517,dos
794604,normal
2336084,dos
3110418,dos
4297434,dos
598461,dos
4201063,dos
4094652,dos
1430891,normal
1695539,dos
982761,dos
2081099,dos
103578,dos
4888017,normal
2624456,dos
2853693,dos
4487050,normal
1636400,dos
2307699,dos
2309501,dos
2461961,dos
267680,normal
4848243,dos
1499723,dos
826865,normal
1080240,dos
766576,normal
720568,dos
4295758,dos
3180151,dos
4473580,normal
4244825,dos
3970548,dos
2771477,dos
1092354,dos
4676291,dos
1579746,dos
2530137,dos
2078712,dos
4711831,dos
887054,normal
2043391,dos
4012589,dos
2325816,dos
1060805,dos
151135,normal
1539896,dos
3705420,dos
1524136,dos
2280114,dos
2444168,dos
4321512,dos
3295740,dos
2493268,dos
788453,normal
2183941,dos
856477,normal
1937971,dos
2814863,dos
3471905,dos
4395561,dos
3830262,dos
935237,dos
621154,dos
3387100,dos
2291512,dos
3370664,dos
4677124,dos
3275572,dos
2170598,dos
4275453,dos
4074658,dos
2174535,dos
1585341,dos
776540,normal
4137590,dos
4259447,dos
2892734,dos
3374401,dos
532302,dos
1748638,dos
4505976,normal
1727201,dos
4749633,dos
1540011,dos
896320,probe
2796753,dos
3724451,dos
4161598,dos
2669335,dos
1147693,dos
1174923,dos
183124,normal
563195,dos
4006037,dos
3452503,normal
2161775,dos
3259836,dos
803464,normal
2253889,dos
1540731,dos
109489,dos
4189633,dos
3206393,dos
1194689,dos
1645072,dos
2144539,dos
4886638,normal
2831027,dos
277331,normal
3866728,dos
1373563,normal
2008700,dos
1022449,normal
3015039,dos
1326996,dos
2812115,dos
1043746,normal
9213,normal
3547479,dos
1824009,dos
2584945,dos
2570133,dos
4366040,dos
263432,normal
4543957,normal
2372684,dos
3066304,dos
2222363,dos
1368528,normal
4793668,normal
1782796,dos
1493675,dos
3807850,dos
2544485,dos
3355577,dos
2207325,dos
34066,normal
1808046,dos
3569242,dos
3707936,dos
672390,dos
4049,normal
3098181,dos
1052402,normal
4871987,normal
3834392,dos
3450848,normal
881943,normal
1940255,dos
1323987,dos
4785330,normal
3732289,dos
2343723,dos
2471443,dos
4445122,dos
1028252,normal
382937,normal
1745827,dos
670190,dos
185856,normal
2721636,dos
4209445,dos
2560969,dos
4330622,dos
3511467,dos
3490226,dos
1865178,dos
3774454,dos
248462,normal
830630,normal
2593639,dos
2926000,dos
1093196,dos
3053795,dos
4733679,dos
34119,normal
395647,dos
4071247,dos
4828228,normal
1668313,dos
399951,normal
3080455,dos
633443,dos
232102,normal
1831450,dos
249621,normal
2389686,dos
1364417,normal
2588387,dos
4202656,dos
2179482,dos
3635169,dos
4595251,dos
676300,dos
939008,dos
4704533,dos
2045529,dos
4111035,dos
3934810,dos
3680359,normal
445705,dos
4678921,dos
359572,normal
2833643,dos
311980,normal
2604041,dos
341355,normal
4787177,normal
4110325,dos
3067852,dos
4214679,dos
3819891,dos
2296882,dos
1346654,normal
2436711,dos
4163029,dos
2369932,dos
4453879,dos
2703379,dos
4419883,dos
2455472,dos
4030737,dos
1801189,dos
4591019,dos
3666607,normal
3907630,dos
1289594,dos
4695209,dos
4132628,dos
1425130,normal
1596131,dos
2380238,dos
2770735,dos
3625818,dos
106903,dos
2445090,dos
4890842,normal
2624997,dos
4018799,dos
1934072,dos
2036908,dos
2990111,dos
2684523,dos
2185185,dos
4698947,dos
3030528,dos
4238671,dos
1544104,dos
4261828,dos
4657391,dos
2781471,dos
2853342,dos
39411,normal
1288916,dos
2138486,dos
4435038,dos
2758795,dos
4322740,dos
77609,normal
3858616,dos
3663893,dos
4093141,dos
12022,normal
2406281,dos
3529823,dos
639579,dos
3771421,dos
1090135,dos
2592366,dos
411057,normal
1102204,dos
1773085,dos
1105712,dos
402543,normal
2768416,dos
4634761,dos
1406380,normal
1716402,dos
3613627,dos
1708220,dos
4216819,dos
4195821,dos
2531527,dos
612918,dos
4233056,dos
3910722,dos
482905,dos
4786955,normal
504537,probe
2572183,dos
2506922,dos
1316342,dos
3046686,dos
2462260,dos
329550,normal
2504004,dos
4058417,dos
671718,dos
2688805,dos
4162292,dos
4571485,dos
3281625,dos
1976253,dos
953685,dos
4098099,dos
3039840,dos
3978004,dos
2287759,dos
551341,dos
1948865,dos
1327662,dos
4784399,normal
921145,dos
1398769,r2l
2443416,dos
2744718,dos
4679274,dos
601609,dos
2796340,dos
1740672,dos
2880636,dos
975209,dos
4471181,normal
2778875,dos
3981117,dos
2205131,dos
4579622,dos
4489111,normal
2315663,dos
3559752,dos
1858917,dos
4711200,dos
1605072,dos
388717,normal
580000,dos
2303934,dos
3767531,dos
2911716,dos
4402143,dos
1965028,dos
237244,normal
4570690,dos
688370,dos
923584,dos
1865739,dos
4214015,dos
3743534,dos
551039,dos
1561364,dos
3336210,dos
4487963,normal
2296240,dos
3654889,dos
917322,dos
3573851,dos
1053311,normal
1782381,dos
1660547,dos
2534612,dos
1117355,dos
2062651,dos
4889020,normal
2424749,dos
3436308,normal
1787735,dos
25075,normal
1444571,probe
303529,normal
3316856,dos
1510824,dos
2964398,dos
471231,dos
662356,dos
296938,normal
3576509,dos
2666587,dos
4890500,normal
1090212,dos
4215084,dos
3502888,dos
3064092,dos
2656838,dos
1485955,dos
830189,normal
4172131,dos
444237,dos
4233129,dos
3356719,dos
1965093,dos
54536,normal
2828978,dos
3875242,dos
3162338,dos
591206,dos
1623273,dos
3905415,dos
1552555,dos
3898770,dos
3385734,dos
2116559,dos
953176,dos
3945071,dos
4094780,dos
1837134,dos
235487,normal
2121058,dos
548959,dos
